         88290065 function calls (88037980 primitive calls) in 34.109 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    359/1    0.002    0.000   34.109   34.109 {built-in method builtins.exec}
        1    0.000    0.000   34.109   34.109 test:1(<module>)
        1    0.009    0.009   33.687   33.687 test:6(test_yaml)
        2    0.000    0.000   33.683   16.842 _yaml_api.py:65(read_yaml)
        2    0.000    0.000   33.678   16.839 _yaml_api.py:52(yaml_loads)
        2    0.028    0.014   33.677   16.839 main.py:341(load)
        1    0.000    0.000   33.649   33.649 constructor.py:111(get_single_data)
        1    0.000    0.000   32.481   32.481 composer.py:70(get_single_node)
        1    0.000    0.000   32.480   32.480 composer.py:95(compose_document)
 228562/1    0.719    0.000   32.480   32.480 composer.py:109(compose_node)
  10759/1    0.243    0.000   32.480   32.480 composer.py:199(compose_mapping_node)
        1    0.014    0.014   32.480   32.480 composer.py:166(compose_sequence_node)
   604839    0.384    0.000   26.915    0.000 parser.py:135(check_event)
  1882817    1.403    0.000   19.774    0.000 scanner.py:166(check_token)
   335630    0.896    0.000   16.237    0.000 scanner.py:215(fetch_more_tokens)
   111079    0.453    0.000   14.709    0.000 parser.py:636(parse_block_mapping_value)
   215061    0.216    0.000   11.034    0.000 scanner.py:746(fetch_plain)
   121838    0.401    0.000   10.977    0.000 parser.py:605(parse_block_mapping_key)
   215061    2.946    0.000    9.952    0.000 scanner.py:1539(scan_plain)
   228562    1.178    0.000    5.389    0.000 parser.py:353(parse_node)
   222158    0.114    0.000    5.297    0.000 parser.py:345(parse_block_node_or_indentless_sequence)
   390671    1.485    0.000    3.443    0.000 scanner.py:1616(scan_plain_spaces)
  3173689    1.712    0.000    3.232    0.000 scanner.py:198(need_more_tokens)
   215754    0.462    0.000    2.370    0.000 composer.py:147(compose_scalar_node)
  1751106    1.821    0.000    1.960    0.000 reader.py:167(forward)
  2838059    1.191    0.000    1.743    0.000 parser.py:121(scanner)
  1070679    0.531    0.000    1.628    0.000 composer.py:40(parser)
       49    0.001    0.000    1.420    0.029 __init__.py:1(<module>)
   335630    0.627    0.000    1.355    0.000 scanner.py:858(scan_to_next_token)
  5354077    0.981    0.000    1.312    0.000 scanner.py:86(flow_level)
  3284744    1.182    0.000    1.219    0.000 scanner.py:343(stale_possible_simple_keys)
        1    0.009    0.009    1.168    1.168 constructor.py:119(construct_document)
21518/17163    0.009    0.000    1.146    0.000 constructor.py:745(construct_yaml_map)
    10759    0.010    0.000    1.136    0.000 constructor.py:451(construct_mapping)
  7113213    1.098    0.000    1.126    0.000 reader.py:136(peek)
   487012    0.206    0.000    1.086    0.000 scanner.py:179(peek_token)
    10759    0.145    0.000    1.064    0.000 constructor.py:222(construct_mapping)
   226514    0.486    0.000    1.060    0.000 resolver.py:368(resolve)
  1081465    0.678    0.000    1.043    0.000 main.py:248(resolver)
   679542    0.354    0.000    1.041    0.000 composer.py:47(resolver)
   111079    0.480    0.000    1.037    0.000 scanner.py:624(fetch_value)
  1070680    0.660    0.000    1.010    0.000 main.py:208(parser)
   968711    0.658    0.000    1.001    0.000 reader.py:182(get_mark)
   468230    0.349    0.000    0.898    0.000 scanner.py:187(get_token)
   218147    0.408    0.000    0.813    0.000 scanner.py:363(save_possible_simple_key)
   228562    0.180    0.000    0.783    0.000 constructor.py:133(construct_object)
   446894    0.494    0.000    0.781    0.000 scanner.py:1761(scan_line_break)
  7145495    0.771    0.000    0.772    0.000 {built-in method builtins.hasattr}
     6404    0.022    0.000    0.743    0.000 parser.py:540(parse_block_sequence_entry)
   215061    0.211    0.000    0.710    0.000 scanner.py:821(check_plain)
   326589    0.241    0.000    0.707    0.000 scanner.py:157(scanner_processing_version)
  7568099    0.676    0.000    0.676    0.000 scanner.py:145(reader)
   226514    0.142    0.000    0.604    0.000 constructor.py:157(construct_non_recursive_object)
  1003746    0.498    0.000    0.588    0.000 reader.py:144(prefix)
8377693/8376387    0.568    0.000    0.568    0.000 {built-in method builtins.len}
    10759    0.013    0.000    0.498    0.000 parser.py:599(parse_block_mapping_first_key)
  2949114    0.487    0.000    0.487    0.000 scanner.py:327(next_possible_simple_key)
  3872132    0.385    0.000    0.455    0.000 {built-in method builtins.isinstance}
   111079    0.128    0.000    0.449    0.000 scanner.py:802(check_value)
  2763714    0.420    0.000    0.420    0.000 {built-in method builtins.getattr}
    425/2    0.002    0.000    0.417    0.208 <frozen importlib._bootstrap>:1167(_find_and_load)
    424/2    0.002    0.000    0.417    0.208 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    405/2    0.001    0.000    0.416    0.208 <frozen importlib._bootstrap>:666(_load_unlocked)
    354/2    0.001    0.000    0.416    0.208 <frozen importlib._bootstrap_external>:934(exec_module)
    955/4    0.000    0.000    0.415    0.104 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   476597    0.130    0.000    0.318    0.000 tokens.py:56(comment)
   430122    0.195    0.000    0.317    0.000 resolver.py:355(versioned_resolver)
  2838059    0.306    0.000    0.306    0.000 main.py:199(scanner)
   335631    0.179    0.000    0.305    0.000 scanner.py:405(unwind_indent)
   436/37    0.000    0.000    0.302    0.008 {built-in method builtins.__import__}
   215754    0.126    0.000    0.296    0.000 events.py:125(__init__)
        1    0.000    0.000    0.280    0.280 config.py:1(<module>)
   369/71    0.001    0.000    0.265    0.004 <frozen importlib._bootstrap>:1209(_handle_fromlist)
   239321    0.085    0.000    0.259    0.000 tokens.py:61(move_comment)
    35262    0.086    0.000    0.245    0.000 constructor.py:482(construct_yaml_int)
   832045    0.232    0.000    0.232    0.000 resolver.py:393(processing_version)
   968711    0.230    0.000    0.230    0.000 error.py:30(__init__)
     6404    0.003    0.000    0.209    0.000 parser.py:337(parse_block_node)
   180491    0.048    0.000    0.193    0.000 constructor.py:729(construct_yaml_str)
   215754    0.117    0.000    0.190    0.000 nodes.py:81(__init__)
   228562    0.105    0.000    0.182    0.000 events.py:42(__init__)
  1423936    0.174    0.000    0.174    0.000 {method 'append' of 'list' objects}
   215754    0.087    0.000    0.173    0.000 constructor.py:369(construct_scalar)
  2152191    0.168    0.000    0.168    0.000 {built-in method sys._getframe}
   215754    0.122    0.000    0.165    0.000 tokens.py:241(__init__)
   116188    0.100    0.000    0.143    0.000 util.py:40(__getattribute__)
   718679    0.141    0.000    0.141    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.132    0.066 base.py:1(<module>)
      354    0.003    0.000    0.124    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.123    0.123 flask_dynaconf.py:1(<module>)
   969393    0.113    0.000    0.113    0.000 reader.py:105(stream)
        1    0.000    0.000    0.107    0.107 _msgpack_api.py:1(<module>)
        1    0.000    0.000    0.098    0.098 default_settings.py:1(<module>)
    64574    0.029    0.000    0.097    0.000 constructor.py:93(resolver)
   468231    0.088    0.000    0.088    0.000 tokens.py:16(__init__)
        1    0.000    0.000    0.084    0.084 parse_conf.py:1(<module>)
        1    0.000    0.000    0.083    0.083 _msgpack_numpy.py:1(<module>)
   239326    0.081    0.000    0.081    0.000 events.py:17(__init__)
      419    0.004    0.000    0.080    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
   117483    0.046    0.000    0.078    0.000 scanner.py:387(remove_possible_simple_key)
   226514    0.078    0.000    0.078    0.000 nodes.py:15(__init__)
      354    0.001    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      400    0.000    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      400    0.001    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
