+-----------------+---------+--------------+---------+----------+--------+----------+----------+
| variable        |   count |   null_count |    mean |      std |    min |      max |   median |
|-----------------+---------+--------------+---------+----------+--------+----------+----------|
| year            |   68846 |            0 |    1996 |       14 |   1972 |     2021 |     1996 |
| id              |   68846 |            0 |    1214 |      898 |      1 |     4510 |     1062 |
| wrkstat         |   68846 |           29 |       3 |        2 |      1 |        8 |        2 |
| hrs1            |   68846 |        29224 |      41 |       14 |      0 |       89 |       40 |
| hrs2            |   68846 |        67530 |      39 |       14 |      0 |       89 |       40 |
| evwork          |   68846 |        44724 |       1 |        0 |      1 |        2 |        1 |
| occ             |   68846 |        44579 |     468 |      279 |      1 |      984 |      394 |
| prestige        |   68846 |        44579 |      39 |       14 |     12 |       82 |       39 |
| wrkslf          |   68846 |         3903 |       2 |        0 |      1 |        2 |        2 |
| wrkgovt         |   68846 |        40767 |       2 |        0 |      1 |        2 |        2 |
| commute         |   68846 |        67516 |      20 |       17 |      0 |       97 |       15 |
| industry        |   68846 |        44639 |     561 |      290 |     17 |      937 |      669 |
| occ80           |   68846 |        37412 |     360 |      246 |      3 |      889 |      337 |
| prestg80        |   68846 |        37412 |      44 |       14 |     17 |       86 |       43 |
| indus80         |   68846 |        37630 |     592 |      275 |     10 |      932 |      682 |
| indus07         |   68846 |        67032 |  555468 |   182278 | 111211 |   928120 |   561422 |
| occonet         |   68846 |        66999 |  355333 |   127688 | 111011 |   537121 |   395092 |
| found           |   68846 |        13759 |       1 |        0 |      0 |        1 |        1 |
| occ10           |   68846 |         4917 |    4613 |     2592 |     10 |     9830 |     4700 |
| occindv         |   68846 |        18123 |       1 |        0 |      0 |        1 |        1 |
| occstatus       |   68846 |        13759 |       3 |        1 |      1 |        7 |        3 |
| occtag          |   68846 |        13759 |       1 |        0 |      1 |        3 |        1 |
| prestg10        |   68846 |         4924 |      43 |       13 |     16 |       80 |       43 |
| prestg105plus   |   68846 |         8797 |      46 |       25 |      5 |       97 |       44 |
| indus10         |   68846 |         4997 |    6027 |     2790 |    170 |     9870 |     6990 |
| indstatus       |   68846 |        13759 |       3 |        1 |      1 |        7 |        3 |
| indtag          |   68846 |        13759 |       1 |        0 |      1 |        3 |        1 |
| marital         |   68846 |           36 |       2 |        2 |      1 |        5 |        1 |
| martype         |   68846 |        64478 |       1 |        0 |      1 |        3 |        1 |
| agewed          |   68846 |        42303 |      22 |        5 |     12 |       90 |       21 |
| divorce         |   68846 |        26454 |       2 |        0 |      1 |        2 |        2 |
| widowed         |   68846 |        36765 |       2 |        0 |      1 |        2 |        2 |
| spwrksta        |   68846 |        32801 |       3 |        2 |      1 |        8 |        1 |
| sphrs1          |   68846 |        46960 |      42 |       13 |      0 |       89 |       40 |
| sphrs2          |   68846 |        68199 |      41 |       12 |      1 |       89 |       40 |
| spevwork        |   68846 |        57072 |       1 |        0 |      1 |        2 |        1 |
| cowrksta        |   68846 |        67609 |       3 |        2 |      1 |        8 |        1 |
| cowrkslf        |   68846 |        67695 |       2 |        0 |      1 |        2 |        2 |
| coevwork        |   68846 |        68572 |       1 |        0 |      1 |        2 |        1 |
| cohrs1          |   68846 |        68028 |      42 |       13 |      4 |       89 |       40 |
| cohrs2          |   68846 |        68823 |      43 |       14 |     25 |       89 |       40 |
| spocc           |   68846 |        54286 |     449 |      267 |      1 |      984 |      391 |
| sppres          |   68846 |        54282 |      40 |       14 |     12 |       82 |       40 |
| spwrkslf        |   68846 |        35062 |       2 |        0 |      1 |        2 |        2 |
| spind           |   68846 |        54345 |     536 |      296 |     17 |      937 |      628 |
| spocc80         |   68846 |        53518 |     355 |      255 |      3 |      901 |      315 |
| sppres80        |   68846 |        53522 |      45 |       14 |     17 |       86 |       45 |
| spind80         |   68846 |        53645 |     574 |      284 |     10 |      951 |      660 |
| spocc10         |   68846 |        35681 |    4670 |     2732 |     10 |     9830 |     4760 |
| spoccindv       |   68846 |        18123 |       1 |        1 |      0 |        1 |        1 |
| spoccstatus     |   68846 |        13759 |       2 |        1 |      1 |        7 |        3 |
| spocctag        |   68846 |        13759 |       1 |        0 |      1 |        3 |        1 |
| sppres10        |   68846 |        35690 |      44 |       13 |     16 |       80 |       44 |
| sppres105plus   |   68846 |        37549 |      48 |       25 |      5 |       97 |       48 |
| spind10         |   68846 |        35992 |    5736 |     2862 |    170 |     9870 |     6680 |
